,Company,Revenue,Gross Margin (%),EBITDA Margin (%),Net Profit Margin (%),ROE,ROIC,ROA,Net Debt to EBITDA,D/E,10Y Revenue Growth (per Share),10Y Net Income Growth (per Share),5Y Revenue Growth (per Share),5Y Net Income Growth (per Share),3Y Revenue Growth (per Share),3Y Net Income Growth (per Share),P/E,EV/EBITDA,P/B,Sector,Market Cap,Price Change (%),Market Capitalisation,Sector Market Cap,year
33,BG,42679000000.0,0.0565,0.041,0.0175,0.1043,0.0602,0.0876,1.9072,0.6708,0.0339,0.0208,-0.0451,-0.0377,-0.097,0.371,14.4458,7.7572,1.4297,Consumer Defensive,10214051132.4,-6.062801557379633,0.6908121073703672,1478557052406.134,2016
34,PBH,806247000.0,0.5795,0.33,0.1239,0.1342,0.0578,0.6328,6.0037,2.1836,0.0968,0.1343,0.1786,0.2655,0.0766,0.1354,28.2487,16.5849,3.7898,Consumer Defensive,2816549727.84,-15.842335679043215,0.1904931381076219,1478557052406.134,2016
35,BIG,5190582000.0,0.3982,0.065,0.0275,0.1983,0.1623,0.1631,0.0241,0.0865,0.1042,0.0,0.098,-0.0045,0.0518,-0.0196,13.8516,5.7611,2.6961,Consumer Defensive,1942474424.8,15.714994547566436,0.1313763592442313,1478557052406.134,2016
36,STZ,6548400000.0,0.4493,0.304,0.1611,0.1608,0.0701,0.2612,4.0198,1.232,0.0479,0.1379,0.1607,0.1511,0.2944,0.3606,26.0941,18.1819,4.2983,Consumer Defensive,28178454223.69,49.29005870945439,1.9058077047371094,1478557052406.134,2016
42,EL,11262000000.0,0.8063,0.181,0.099,0.3122,0.1838,0.3566,0.4221,0.6277,0.0731,0.1816,0.0636,0.1112,0.0503,0.0463,30.2392,16.9371,9.3976,Consumer Defensive,33608025375.18,66.85224759770838,2.2730286477946784,1478557052406.134,2016
46,PPC,9878564000.0,0.1118,0.1,0.0446,0.212,0.1396,0.1778,1.1235,0.6795,-0.0664,0.0,0.0306,0.0,0.0622,-0.0648,10.9483,5.9510000000000005,2.2999,Consumer Defensive,4787840519.55,60.103093178800066,0.3238184493292629,1478557052406.134,2016
47,DLTR,15498400000.0,0.3005,0.099,0.0182,0.0641,0.0498,0.0569,4.3032,1.6669999999999998,0.2003,0.0824,0.2296,-0.0539,0.2658,-0.2387,64.5512,16.8414,4.3678,Consumer Defensive,19248571735.06,38.553908052838565,1.3018484274066924,1478557052406.134,2016
50,DF,7710226000.0,0.2579,0.058,0.0156,0.1964,0.0891,0.0872,1.9414,1.4512,-0.0559,-0.0894,-0.0436,0.0,-0.041,-0.4662,16.3561,6.3109,3.2004,Consumer Defensive,1953818679.35,-45.0224027928355,0.13214361097330993,1478557052406.134,2016
56,CASY,7122086000.0,0.2266,0.079,0.0317,0.2086,0.1067,0.1032,1.362,0.7737,0.1015,0.1703,0.042,0.1834,-0.0121,0.28800000000000003,19.7703,9.347,4.1258,Consumer Defensive,4470118747.9,-4.8116405608223065,0.3023298113945308,1478557052406.134,2016
57,MGPI,318263000.0,0.2051,0.18,0.098,0.2132,0.1373,0.1871,0.6013,0.2461,-0.0043,0.0812,0.0656,0.0,0.0183,0.0,27.1758,14.9899,5.6452,Consumer Defensive,823952408.9,58.200700929331035,0.055726791709466914,1478557052406.134,2016
59,TSN,36881000000.0,0.1274,0.096,0.0479,0.184,0.0916,0.2423,1.6714,0.6535,0.03,0.0,0.0221,0.1796,-0.0064,0.276,16.0814,9.4493,2.939,Consumer Defensive,27596019423.3,31.71576476658111,1.866415596096988,1478557052406.134,2016
60,MKC,4411500000.0,0.4152,0.171,0.0989,0.2663,0.1149,0.6525,1.7626,0.8835,0.054000000000000006,0.1113,0.0466,0.0565,0.0387,0.0769,24.4504,17.0137,7.019,Consumer Defensive,11497812182.4,11.028159842124458,0.7776373704138776,1478557052406.134,2016
62,HAIN,2392864000.0,0.2363,0.08,0.0198,0.0285,0.0291,0.0508,3.8553,0.5183,0.0899,-0.0049,0.1256,-0.063,0.0729,-0.2818,108.1522,30.8594,3.092,Consumer Defensive,5146547203.75,7.425241695782818,0.3480790406683835,1478557052406.134,2016
63,HSY,7440181000.0,0.426,0.2,0.0968,0.9163,0.2007,0.3454,1.7990000000000002,3.7923,0.051,0.0347,0.0535,0.0396,0.0313,-0.0258,32.9905,16.5865,28.0648,Consumer Defensive,22054881949.92,11.802133036953128,1.4916490313328745,1478557052406.134,2016
74,PETS,234684000.0,0.3251,0.142,0.0876,0.2472,0.4443,0.2524,-1.129,0.0,0.0721,0.07200000000000001,0.0254,0.0197,0.0066,0.0586,17.5588,9.7914,4.3381,Consumer Defensive,364055531.22,99.0340126854518,0.024622352625997976,1478557052406.134,2016
75,THS,6175100000.0,0.1824,0.034,-0.037000000000000005,-0.0913,-0.0102,-0.1027,12.818,1.115,0.1391,0.0,0.1413,0.0,0.2074,0.0,0.0,32.2658,1.644,Consumer Defensive,4124883380.2,-31.97634478442055,0.27898033244556636,1478557052406.134,2016
79,IPAR,521072000.0,0.6265,0.14400000000000002,0.064,0.09,0.2166,0.098,-2.4248,0.2013,0.0476,0.0631,-0.0362,0.0026,-0.029,-0.0559,30.9813,11.3536,2.7848,Consumer Defensive,1031150805.75,33.485829910996856,0.06974034610784574,1478557052406.134,2016
80,INGR,5704000000.0,0.2456,0.174,0.085,0.1891,0.1149,0.1431,1.4502,0.7626,0.0835,0.1489,-0.0062,0.0426,-0.0135,0.0926,18.7134,10.5919,3.5488,Consumer Defensive,9077762760.0,13.489109541401492,0.6139609388239214,1478557052406.134,2016
